Index   R       G       B        mm/h
0	255	255	255      -10.0
1	235	235	235     0.0001  
2	145	161	161      0.10
3	143	159	163      0.15
4	141	157	165      0.20
5	140	156	167      0.25
6	138	154	168      0.30
7	136	152	170      0.35
8	134	150	172      0.40
9	133	149	174      0.45
10	131	147	175      0.50
11	129	145	177      0.55
12	127	143	179      0.60
13	126	142	181      0.65
14	124	140	182      0.70
15	122	138	184      0.75
16	120	136	186      0.80
17	119	135	187      0.85
18	119	134	188      0.90
19	117	132	190      0.95
20	115	130	192      1.00
21	113	127	195      1.1
22	111	125	197      1.25
23	109	122	199      1.35
24	107	120	202      1.45
25	105	117	204      1.55
26	104	115	207      1.65
27	102	113	209      1.75
28	100	110	211      1.85
29	98	108	214      1.95
30	96	105	216      2.00
31	94	103	218      3.05
32	92	100	221      4.05
33	90	98	223      5.05
34	89	96	225      6.05
35	89	96	226      7.05
36	85	95	227      8.05
37	82	95	229      9.05
38	79	95	231      10.05
39	76	94	233      11.05
40	73	94	235      12.05
41	70	94	236      13.05
42	67	93	238      14.05
43	64	93	240      15.05
44	61	93	242      16.05
45	58	92	244      17.05
46	55	92	245      18.05
47	52	92	247      19.05
48	49	91	249      20.05
49	46	91	251      21.05
50	43	91	253      22.05
51	40	91	254      23.05
52	40	94	255      24.05
53	40	95	253      25.05
54	40	100	252      26.05
55	40	104	250      27.05
56	40	109	249      28.05
57	40	114	247      29.05
58	40	118	246      30.05
59	40	123	244      31.05
60	40	128	243      32.05
61	40	132	242      33.05
62	40	137	240      34.05
63	40	141	239      35.05
64	40	146	237      36.05
65	40	151	236      37.05
66	40	155	234      38.05
67	40	160	233      39.05
68	40	163	232      40.05
69	40	165	231      41.05
70	40	166	230      42.05
71	41	168	228      43.05
72	42	169	226      44.05
73	43	171	225      45.05
74	44	173	223      46.05
75	44	174	221      47.05
76	45	176	219      48.05
77	46	178	218      49.05
78	47	179	216      50.05
79	48	181	214      51.05
80	48	182	212      52.05
81	49	184	211      53.05
82	50	186	209      54.05
83	51	187	207      55.05
84	52	189	205      56.05
85	53	190	204      57.05
86	53	191	203      58.05
87	54	192	202      59.05
88	55	193	201      60.05
89	57	195	200      61.05
90	58	196	198      62.05
91	60	198	197      63.05
92	61	199	196      64.05
93	63	201	194      65.05
94	64	202	193      66.05
95	65	203	192      67.05
96	67	205	190      68.05
97	68	206	189      69.05
98	70	208	188      70.05
99	71	209	186      71.05
100	73	211	185      72.05
101	74	212	184      73.05
102	76	213	183      74.05
103	76	214	182      75.05
104	77	215	181      76.05
105	78	216	179      77.05
106	80	217	178      78.05
107	81	219	176      79.05
108	83	220	175      80.05
109	84	221	173      81.05
110	86	222	172      82.05
111	87	224	170      83.05
112	88	225	168      84.05
113	90	226	167      85.05
114	91	227	165      86.05
115	93	229	164      87.05
116	94	230	162      88.05
117	96	231	161      89.05
118	97	232	159      90.05
119	99	233	158      91.05
120	99	234	157      92.05
121	102	234	156      93.05
122	105	235	154      94.05
123	109	235	153      95.05
124	112	236	151      96.05
125	115	237	149      97.05
126	119	237	148      98.05
127	122	238	146      99.05
128	126	239	145      100.05
129	129	239	143      101.05
130	132	240	141      102.05
131	136	240	140      103.05
132	139	241	138      104.05
133	142	242	136      105.05
134	146	242	135      106.05
135	149	243	133      107.05
136	151	244	132      108.05
137	153	244	131      109.05
138	155	244	129      110.05
139	157	245	127      111.05
140	159	246	125      112.05
141	161	246	123      113.05
142	163	247	121      114.05
143	166	248	119      115.05
144	168	248	117      116.05
145	170	249	115      117.05
146	172	250	113      118.05
147	174	250	111      119.05
148	177	251	109      120.05
149	179	252	107      121.05
150	181	252	105      122.05
151	183	253	103      123.05
152	185	254	101      124.05
153	186	255	99       125.05
154	188	255	98       126.05
155	190	255	97       127.05
156	192	255	95       128.05
157	195	255	94       129.05
158	197	255	92       130.05
159	199	255	90       131.05
160	202	255	89       132.05
161	204	255	87       133.05
162	207	255	86       134.05
163	209	255	84       135.05
164	211	255	82       136.05
165	214	255	81       137.05
166	216	255	79       138.05
167	218	255	77       139.05
168	221	255	76       141.05
169	223	255	74       142.05
170	224	255	73       143.05
171	226	255	71       144.05
172	226	253	69       145.05
173	227	251	65       146.05
174	227	249	62       147.05
175	228	247	58       148.05
176	229	245	55       149.05
177	229	243	51       150.05
178	230	241	48       151.05
179	231	240	44       152.05
180	231	238	40       153.05
181	232	236	37       154.05
182	232	234	33       155.05
183	233	232	30       156.05
184	234	230	26       157.05
185	234	228	23       158.05
186	235	226	19       159.05
187	236	225	17       160.05
188	236	224	16       161.05
189	237	223	15       162.05
190	238	221	14       163.05
191	239	219	13       164.05
192	240	217	12       165.05
193	241	215	11       166.05
194	243	214	10       167.05
195	244	212	9        168.05
196	245	210	9        169.05
197	246	208	8        170.05
198	247	206	7        171.05
199	249	205	6        172.05
200	250	203	5        173.05
201	251	201	4        174.05
202	252	199	3        175.05
203	253	197	2        176.05
204	254	196	2        177.05
205	255	196	3        178.05
206	255	192	5        179.05
207	255	189	8        180.05
208	255	186	11      181.05
209	255	183	14      182.05
210	255	180	17      183.05
211	255	176	20      184.05
212	255	173	23      185.05
213	255	170	26      186.05
214	255	167	29      187.05
215	255	164	32      188.05
